time,event_type,pair,side,price,size,is_snapshot,trade_id
2025-08-03 14:01:09.160202+00,book,btc_jpy,bid,16842601.000000,0.005000,true,
2025-08-03 14:01:09.160202+00,book,btc_jpy,bid,16844614.000000,0.020000,true,
2025-08-03 14:01:09.160202+00,book,btc_jpy,bid,16850197.000000,0.036000,true,
2025-08-03 14:01:09.53397+00,book,btc_jpy,ask,16865341.000000,0.000000,true,
2025-08-03 14:01:09.53397+00,book,btc_jpy,ask,16864705.000000,0.015000,true,
2025-08-03 14:01:09.53397+00,book,btc_jpy,ask,16860758.000000,0.020000,true,
2025-08-03 14:01:09.53397+00,book,btc_jpy,ask,16858691.000000,0.010000,true,
2025-08-03 14:01:09.53397+00,book,btc_jpy,ask,16858160.000000,0.009695,true,
2025-08-03 14:01:09.53397+00,book,btc_jpy,ask,16857008.000000,0.030000,true,
2025-08-03 14:01:09.53397+00,book,btc_jpy,ask,16868501.000000,0.000000,true,
2025-08-03 14:01:09.53397+00,book,btc_jpy,ask,16860133.000000,0.000000,true,
2025-08-03 14:01:09.53397+00,book,btc_jpy,ask,16857915.000000,0.000000,true,
2025-08-03 14:01:09.53397+00,book,btc_jpy,bid,16822116.000000,0.002370,true,
2025-08-03 14:01:09.53397+00,book,btc_jpy,bid,16840581.000000,0.035600,true,
2025-08-03 14:01:09.53397+00,book,btc_jpy,bid,16840935.000000,0.050000,true,
2025-08-03 14:01:09.53397+00,book,btc_jpy,bid,16851414.000000,0.020000,true,
2025-08-03 14:01:09.53397+00,book,btc_jpy,bid,16851579.000000,0.015000,true,
2025-08-03 14:01:09.53397+00,book,btc_jpy,bid,16852007.000000,0.030000,true,
2025-08-03 14:01:09.53397+00,book,btc_jpy,bid,16853752.000000,0.039945,true,
2025-08-03 14:01:09.53397+00,book,btc_jpy,bid,16822096.000000,0.000000,true,
2025-08-03 14:01:09.53397+00,book,btc_jpy,bid,16840704.000000,0.000000,true,
2025-08-03 14:01:09.53397+00,book,btc_jpy,bid,16842601.000000,0.000000,true,
2025-08-03 14:01:09.53397+00,book,btc_jpy,bid,16850808.000000,0.000000,true,
2025-08-03 14:01:09.53397+00,book,btc_jpy,bid,16852235.000000,0.000000,true,
2025-08-03 14:01:09.53397+00,book,btc_jpy,bid,16854232.000000,0.000000,true,
2025-08-03 14:01:09.883766+00,book,btc_jpy,bid,16852079.000000,0.000000,true,
2025-08-03 14:01:09.883766+00,book,btc_jpy,ask,16933732.000000,0.002370,true,
2025-08-03 14:01:09.883766+00,book,btc_jpy,ask,16860231.000000,0.020000,true,
2025-08-03 14:01:09.883766+00,book,btc_jpy,ask,16857636.000000,0.010084,true,
2025-08-03 14:01:09.883766+00,book,btc_jpy,ask,16856903.000000,0.030000,true,
2025-08-03 14:01:09.883766+00,book,btc_jpy,ask,16933753.000000,0.000000,true,
2025-08-03 14:01:09.883766+00,book,btc_jpy,ask,16933752.000000,0.000000,true,
2025-08-03 14:01:09.883766+00,book,btc_jpy,ask,16860758.000000,0.000000,true,
2025-08-03 14:01:09.883766+00,book,btc_jpy,ask,16857008.000000,0.000000,true,
2025-08-03 14:01:09.883766+00,book,btc_jpy,bid,16850197.000000,0.018000,true,
2025-08-03 14:01:09.883766+00,book,btc_jpy,bid,16850850.000000,0.020000,true,
2025-08-03 14:01:09.883766+00,book,btc_jpy,bid,16851891.000000,0.030000,true,
2025-08-03 14:01:09.883766+00,book,btc_jpy,bid,16840581.000000,0.000000,true,
2025-08-03 14:01:09.883766+00,book,btc_jpy,bid,16851414.000000,0.000000,true,
2025-08-03 14:01:09.883766+00,book,btc_jpy,bid,16852007.000000,0.000000,true,
2025-08-03 14:01:10.338288+00,book,btc_jpy,bid,16850197.000000,0.000000,true,
2025-08-03 14:01:10.338288+00,book,btc_jpy,ask,16933736.000000,0.002370,true,
2025-08-03 14:01:10.338288+00,book,btc_jpy,ask,16933733.000000,0.002370,true,
2025-08-03 14:01:10.338288+00,book,btc_jpy,ask,16933756.000000,0.000000,true,
2025-08-03 14:01:10.338288+00,book,btc_jpy,bid,16842601.000000,0.005000,true,
2025-08-03 14:01:10.338288+00,book,btc_jpy,bid,16851863.000000,0.010000,true,
2025-08-03 14:01:10.338288+00,book,btc_jpy,bid,16852068.000000,0.000000,true,
2025-08-03 14:01:10.721887+00,book,btc_jpy,bid,16851891.000000,0.000000,true,
2025-08-03 14:01:10.721887+00,book,btc_jpy,ask,16857374.000000,0.030000,true,
2025-08-03 14:01:10.721887+00,book,btc_jpy,ask,16856903.000000,0.000000,true,
2025-08-03 14:01:10.721887+00,book,btc_jpy,bid,16840581.000000,0.035600,true,
2025-08-03 14:01:10.721887+00,book,btc_jpy,bid,16852337.000000,0.030000,true,
2025-08-03 14:01:10.721887+00,book,btc_jpy,bid,16853627.000000,0.039945,true,
2025-08-03 14:01:10.721887+00,book,btc_jpy,bid,16851579.000000,0.000000,true,
2025-08-03 14:01:10.721887+00,book,btc_jpy,bid,16853752.000000,0.000000,true,
2025-08-03 14:01:11.071988+00,book,btc_jpy,bid,16851424.000000,0.015000,true,
2025-08-03 14:01:11.071988+00,book,btc_jpy,ask,16933723.000000,0.002370,true,
2025-08-03 14:01:11.071988+00,book,btc_jpy,ask,16864550.000000,0.015000,true,
2025-08-03 14:01:11.071988+00,book,btc_jpy,ask,16933743.000000,0.000000,true,
2025-08-03 14:01:11.071988+00,book,btc_jpy,ask,16864705.000000,0.000000,true,
2025-08-03 14:01:11.071988+00,book,btc_jpy,bid,16842601.000000,0.010000,true,
2025-08-03 14:01:11.071988+00,book,btc_jpy,bid,16844582.000000,0.020000,true,
2025-08-03 14:01:11.071988+00,book,btc_jpy,bid,16850197.000000,0.018000,true,
2025-08-03 14:01:11.071988+00,book,btc_jpy,bid,16810243.000000,0.000000,true,
2025-08-03 14:01:11.071988+00,book,btc_jpy,bid,16844614.000000,0.000000,true,
2025-08-03 14:01:11.740722+00,book,btc_jpy,bid,16853627.000000,0.000000,true,
2025-08-03 14:01:11.740722+00,book,btc_jpy,ask,16857606.000000,0.030000,true,
2025-08-03 14:01:11.740722+00,book,btc_jpy,ask,16857374.000000,0.000000,true,
